Page_Line;Version;EVAtxt
f8r.P3.20;H;      or.chokesey.shey.okal-chal=
f8r.T3.21;H;      schol.sair=
f8v.P.1;H;        cthod.soocth-sol.shol.otol.chol.opcheaiin.opydaiin.saiin-
f8v.P.1;U;        cthod.soocth-sol.shol.otol.chol.opchoaiin.opydaiin.saiin-
f8v.P.2;H;        shcthal.sar-chor.sheaiin.shor.chykchy.otaiin.cty-
f8v.P.2;U;        shcthal.sar-chor.sheaiin.shor.shykchy.otaiin.cty-
f8v.P.3;H;        qody.cheal.sy-chory-chear.shol.chaiin.shaiin.dolar-
f8v.P.3;U;        qody.cheal.sy-chory-chear.shol.chaiin.shaiin.dolar-
f8v.P.4;H;        dshol.shol-dol-chean.cthar.shealy.daiin.chary-
f8v.P.4;U;        dshol.shol-dal-chean.cthar.shealy.daiin.chary-
f8v.P.5;H;        chol.chol.dar-otchar.etaiin.cthol.dar-
f8v.P.5;U;        chol.chol.dar-otchar.ctaiin.cthol.dar-
